raceId,driverId,driverName,lapNumber,lapTime,sector1Time,sector2Time,sector3Time,compound,stint,pitInLap
2025_R01,4,Lando Norris,1,0 days 00:01:57.099000,,0 days 00:00:20.913000,0 days 00:00:54.007000,INTERMEDIATE,1.0,False
2025_R01,4,Lando Norris,2,,0 days 00:00:58.907000,0 days 00:00:38.076000,0 days 00:01:12.905000,INTERMEDIATE,1.0,False
2025_R01,4,Lando Norris,3,,0 days 00:00:56.498000,0 days 00:00:34.215000,0 days 00:01:11.010000,INTERMEDIATE,2.0,False
2025_R01,4,Lando Norris,4,,0 days 00:00:55.356000,0 days 00:00:32.664000,0 days 00:01:08.033000,INTERMEDIATE,3.0,False
2025_R01,4,Lando Norris,5,0 days 00:02:23.648000,0 days 00:00:53.992000,0 days 00:00:31.669000,0 days 00:00:57.987000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,6,0 days 00:02:20.423000,0 days 00:00:48.236000,0 days 00:00:33.814000,0 days 00:00:58.373000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,7,0 days 00:02:17.108000,0 days 00:00:46.009000,0 days 00:00:30.022000,0 days 00:01:01.077000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,8,0 days 00:01:36.278000,0 days 00:00:34.845000,0 days 00:00:20.542000,0 days 00:00:40.891000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,9,0 days 00:01:34.638000,0 days 00:00:34.182000,0 days 00:00:19.932000,0 days 00:00:40.524000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,10,0 days 00:01:32.130000,0 days 00:00:32.775000,0 days 00:00:19.521000,0 days 00:00:39.834000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,11,0 days 00:01:32.189000,0 days 00:00:32.971000,0 days 00:00:19.542000,0 days 00:00:39.676000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,12,0 days 00:01:31.778000,0 days 00:00:33.041000,0 days 00:00:19.428000,0 days 00:00:39.309000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,13,0 days 00:01:31.318000,0 days 00:00:32.701000,0 days 00:00:19.369000,0 days 00:00:39.248000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,14,0 days 00:01:30.795000,0 days 00:00:32.293000,0 days 00:00:19.273000,0 days 00:00:39.229000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,15,0 days 00:01:30.226000,0 days 00:00:32.127000,0 days 00:00:19.243000,0 days 00:00:38.856000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,16,0 days 00:01:29.952000,0 days 00:00:31.957000,0 days 00:00:19.167000,0 days 00:00:38.828000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,17,0 days 00:01:30.264000,0 days 00:00:31.990000,0 days 00:00:19.045000,0 days 00:00:39.229000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,18,0 days 00:01:30.146000,0 days 00:00:31.867000,0 days 00:00:18.988000,0 days 00:00:39.291000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,19,0 days 00:01:30.551000,0 days 00:00:31.922000,0 days 00:00:19.008000,0 days 00:00:39.621000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,20,0 days 00:01:30.710000,0 days 00:00:32.482000,0 days 00:00:19.053000,0 days 00:00:39.175000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,21,0 days 00:01:30.234000,0 days 00:00:31.839000,0 days 00:00:18.967000,0 days 00:00:39.428000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,22,0 days 00:01:30.300000,0 days 00:00:31.922000,0 days 00:00:18.944000,0 days 00:00:39.434000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,23,0 days 00:01:29.922000,0 days 00:00:31.865000,0 days 00:00:18.917000,0 days 00:00:39.140000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,24,0 days 00:01:29.687000,0 days 00:00:31.717000,0 days 00:00:18.812000,0 days 00:00:39.158000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,25,0 days 00:01:29.601000,0 days 00:00:31.927000,0 days 00:00:18.809000,0 days 00:00:38.865000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,26,0 days 00:01:29.160000,0 days 00:00:31.638000,0 days 00:00:18.793000,0 days 00:00:38.729000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,27,0 days 00:01:29.250000,0 days 00:00:31.708000,0 days 00:00:18.743000,0 days 00:00:38.799000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,28,0 days 00:01:29.097000,0 days 00:00:31.595000,0 days 00:00:18.795000,0 days 00:00:38.707000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,29,0 days 00:01:28.357000,0 days 00:00:31.183000,0 days 00:00:18.556000,0 days 00:00:38.618000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,30,0 days 00:01:28.032000,0 days 00:00:31.395000,0 days 00:00:18.641000,0 days 00:00:37.996000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,31,0 days 00:01:27.695000,0 days 00:00:31.136000,0 days 00:00:18.747000,0 days 00:00:37.812000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,32,0 days 00:01:27.800000,0 days 00:00:31.021000,0 days 00:00:18.717000,0 days 00:00:38.062000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,33,0 days 00:01:27.495000,0 days 00:00:31.193000,0 days 00:00:18.769000,0 days 00:00:37.533000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,34,0 days 00:02:02.273000,0 days 00:00:30.897000,0 days 00:00:28.566000,0 days 00:01:02.810000,INTERMEDIATE,4.0,False
2025_R01,4,Lando Norris,35,0 days 00:02:03.448000,0 days 00:00:46.512000,0 days 00:00:32.868000,0 days 00:00:44.068000,HARD,5.0,False
2025_R01,4,Lando Norris,36,0 days 00:02:16.883000,0 days 00:00:47.119000,0 days 00:00:35.095000,0 days 00:00:54.669000,HARD,5.0,False
2025_R01,4,Lando Norris,37,,0 days 00:00:44.919000,0 days 00:00:41.079000,0 days 00:01:10.942000,HARD,5.0,False
2025_R01,4,Lando Norris,38,0 days 00:02:21.020000,0 days 00:00:45.763000,0 days 00:00:41.277000,0 days 00:00:53.980000,HARD,5.0,False
2025_R01,4,Lando Norris,39,0 days 00:02:13.694000,0 days 00:00:44.586000,0 days 00:00:34.303000,0 days 00:00:54.805000,HARD,5.0,False
2025_R01,4,Lando Norris,40,0 days 00:02:15.337000,0 days 00:00:47.795000,0 days 00:00:33.656000,0 days 00:00:53.886000,HARD,5.0,False
2025_R01,4,Lando Norris,41,0 days 00:02:13.937000,0 days 00:00:44.793000,0 days 00:00:29.454000,0 days 00:00:59.690000,HARD,5.0,False
2025_R01,4,Lando Norris,42,0 days 00:01:23.797000,0 days 00:00:30.016000,0 days 00:00:18.891000,0 days 00:00:34.890000,HARD,5.0,False
2025_R01,4,Lando Norris,43,0 days 00:01:22.167000,0 days 00:00:28.553000,0 days 00:00:18.537000,0 days 00:00:35.077000,HARD,5.0,False
2025_R01,4,Lando Norris,44,0 days 00:01:45.587000,0 days 00:00:28.841000,0 days 00:00:18.581000,0 days 00:00:58.165000,HARD,5.0,False
2025_R01,4,Lando Norris,45,0 days 00:01:36.407000,0 days 00:00:37.170000,0 days 00:00:18.913000,0 days 00:00:40.324000,INTERMEDIATE,6.0,False
