raceId,driverId,lapNumber,compound
2025_R01,VER,1.0,INTERMEDIATE
2025_R01,VER,2.0,INTERMEDIATE
2025_R01,VER,3.0,INTERMEDIATE
2025_R01,VER,4.0,INTERMEDIATE
2025_R01,VER,5.0,INTERMEDIATE
2025_R01,VER,6.0,INTERMEDIATE
2025_R01,VER,7.0,INTERMEDIATE
2025_R01,VER,8.0,INTERMEDIATE
2025_R01,VER,9.0,INTERMEDIATE
2025_R01,VER,10.0,INTERMEDIATE
2025_R01,VER,11.0,INTERMEDIATE
2025_R01,VER,12.0,INTERMEDIATE
2025_R01,VER,13.0,INTERMEDIATE
2025_R01,VER,14.0,INTERMEDIATE
2025_R01,VER,15.0,INTERMEDIATE
2025_R01,VER,16.0,INTERMEDIATE
2025_R01,VER,17.0,INTERMEDIATE
2025_R01,VER,18.0,INTERMEDIATE
2025_R01,VER,19.0,INTERMEDIATE
2025_R01,VER,20.0,INTERMEDIATE
2025_R01,VER,21.0,INTERMEDIATE
2025_R01,VER,22.0,INTERMEDIATE
2025_R01,VER,23.0,INTERMEDIATE
2025_R01,VER,24.0,INTERMEDIATE
2025_R01,VER,25.0,INTERMEDIATE
2025_R01,VER,26.0,INTERMEDIATE
2025_R01,VER,27.0,INTERMEDIATE
2025_R01,VER,28.0,INTERMEDIATE
2025_R01,VER,29.0,INTERMEDIATE
2025_R01,VER,30.0,INTERMEDIATE
2025_R01,VER,31.0,INTERMEDIATE
2025_R01,VER,32.0,INTERMEDIATE
2025_R01,VER,33.0,INTERMEDIATE
2025_R01,VER,34.0,INTERMEDIATE
2025_R01,VER,35.0,MEDIUM
2025_R01,VER,36.0,MEDIUM
2025_R01,VER,37.0,MEDIUM
2025_R01,VER,38.0,MEDIUM
2025_R01,VER,39.0,MEDIUM
2025_R01,VER,40.0,MEDIUM
2025_R01,VER,41.0,MEDIUM
2025_R01,VER,42.0,MEDIUM
2025_R01,VER,43.0,MEDIUM
2025_R01,VER,44.0,MEDIUM
2025_R01,VER,45.0,MEDIUM
2025_R01,VER,46.0,MEDIUM
2025_R01,VER,47.0,INTERMEDIATE
2025_R01,VER,48.0,INTERMEDIATE
2025_R01,VER,49.0,INTERMEDIATE
2025_R01,VER,50.0,INTERMEDIATE
2025_R01,VER,51.0,INTERMEDIATE
2025_R01,VER,52.0,INTERMEDIATE
2025_R01,VER,53.0,INTERMEDIATE
2025_R01,VER,54.0,INTERMEDIATE
2025_R01,VER,55.0,INTERMEDIATE
2025_R01,VER,56.0,INTERMEDIATE
2025_R01,VER,57.0,INTERMEDIATE
2025_R01,GAS,1.0,INTERMEDIATE
